;;#Dev Description;Stat Group;Slot;Affix Group;Special;MinRarity;;;;;;;;;;;;#;#;#;#;#;;#;#;#;#;#;#;#;weap1;head1;tors1;hand1;wais1;feet1;ring1;jewl1;amul1;reli1;weap2;head2;tors2;hand2;wais2;feet2;ring2;jewl2;amul2;reli2;weap3;head3;tors3;hand3;wais3;feet3;ring3;jewl3;amul3;reli3;weap4;head4;tors4;hand4;wais4;feet4;ring4;jewl4;amul4;reli4;weap5;head5;tors5;hand5;wais5;feet5;ring5;jewl5;amul5;reli5;#weap;#head;#tors;#hand;#wais;#feet;#ring;#jewl;#amul;#reli;#;#;#;#;#;#;#;#;#;;;;#;;Ability1;;;;;;;;;;;;;;;;;;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability4;;;;;;;;;;;;;;;;;;Ability5;;;;;;;;;;;;;;;;;;Ability6;;;;;;;;;;;;;;;;;;Ability7;;;;;;;;;;;;;;;;Ability8;;;;;;;;;;;;;;;
;d%;Damage %;P.Item;none;@d;FALSE;brok;1;1;1;1;1;1;1;1;1;1;1;0.004;0.004;0.004;0.004;0.004;FALSE;;200;200;400;600;800;1000;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;';';';';';;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;pow;group;;;;;;;;;;;;0;per;0.004;0;1;0.004;;per;0.004;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;ad%;Attack Damage %;P.Item;none;@d;FALSE;brok;1;1;1;1;1;1;1;1;1;1;1;0.006;0.006;0.006;0.006;0.006;FALSE;;100;100;200;300;400;500;100;26;0;40;0;0;12;12;49;26;200;53;0;80;0;0;24;24;99;53;300;80;0;120;0;0;36;36;148;80;400;107;0;160;0;0;48;48;198;107;500;134;0;200;0;0;60;60;247;134;1;0.268;0;0.4;0;0;0.12;0.12;0.495;0.268;159%;319.8%;480%;640.8%;801%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;pow;group;P.Weapon;;;;;;;;;;;0;per;0.006;0;1;0.006;;per;0.006;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;dd%;Dash Damage %;P.Item;none;@d;FALSE;comm;0.8;1;1;1;1;1;1;1;1;1;1;0.006;0.006;0.006;0.006;0.006;FALSE;;100;100;200;300;400;500;80;26;0;0;0;60;12;12;49;26;160;53;0;0;0;120;24;24;99;53;240;80;0;0;0;180;36;36;148;80;320;107;0;0;0;240;48;48;198;107;400;134;0;0;0;300;60;60;247;134;0.8;0.268;0;0;0;0.6;0.12;0.12;0.495;0.268;159%;319.8%;480%;640.8%;801%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;pow;group;P.Skill.Dash;;;;;;;;;;;0;per;0.006;0;1;0.006;;per;0.006;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sd%;Strike Damage %;P.Item;none;@d;FALSE;comm;1.2;1;1;1;1;1;1;1;1;1;1;0.006;0.006;0.006;0.006;0.006;FALSE;;100;100;200;300;400;500;100;26;0;40;0;0;12;12;49;26;200;53;0;80;0;0;24;24;99;53;300;80;0;120;0;0;36;36;148;80;400;107;0;160;0;0;48;48;198;107;500;134;0;200;0;0;60;60;247;134;1;0.268;0;0.4;0;0;0.12;0.12;0.495;0.268;159%;319.8%;480%;640.8%;801%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;pow;group;P.Skill.Strike;;;;;;;;;;;0;per;0.006;0;1;0.006;;per;0.006;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;cd%;Cast Damage %;P.Item;none;@d;FALSE;comm;1.2;1;1;1;1;1;1;1;1;1;1;0.006;0.006;0.006;0.006;0.006;FALSE;;100;100;200;300;400;500;100;26;0;40;0;0;12;12;49;26;200;53;0;80;0;0;24;24;99;53;300;80;0;120;0;0;36;36;148;80;400;107;0;160;0;0;48;48;198;107;500;134;0;200;0;0;60;60;247;134;1;0.268;0;0.4;0;0;0.12;0.12;0.495;0.268;159%;319.8%;480%;640.8%;801%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;pow;group;P.Skill.Cast;;;;;;;;;;;0;per;0.006;0;1;0.006;;per;0.006;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;pd%;Power Damage %;P.Item;none;@d;FALSE;comm;1.1;1;1;1;1;1;1;1;1;1;1;0.006;0.006;0.006;0.006;0.006;FALSE;;100;100;200;300;400;500;100;26;0;40;0;0;12;12;49;26;200;53;0;80;0;0;24;24;99;53;300;80;0;120;0;0;36;36;148;80;400;107;0;160;0;0;48;48;198;107;500;134;0;200;0;0;60;60;247;134;1;0.268;0;0.4;0;0;0.12;0.12;0.495;0.268;159%;319.8%;480%;640.8%;801%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;pow;group;P.Skill.Power;;;;;;;;;;;0;per;0.006;0;1;0.006;;per;0.006;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sud%;Summon Damage %;P.Item;none;@d;FALSE;comm;1.1;1;1;1;1;1;1;1;1;1;1;0.006;0.006;0.006;0.006;0.006;FALSE;;100;100;200;300;400;500;100;26;0;40;0;0;12;12;49;26;200;53;0;80;0;0;24;24;99;53;300;80;0;120;0;0;36;36;148;80;400;107;0;160;0;0;48;48;198;107;500;134;0;200;0;0;60;60;247;134;1;0.268;0;0.4;0;0;0.12;0.12;0.495;0.268;159%;319.8%;480%;640.8%;801%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;pow;group;Su;;;;;;;;;;;0;per;0.006;0;1;0.006;;per;0.006;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;std%;Status Damage %;P.Item;none;@d;FALSE;comm;1.2;1;1;1;1;1;1;1;1;1;1;0.012;0.012;0.012;0.012;0.012;FALSE;;100;100;200;300;400;500;100;26;0;40;0;0;12;12;49;26;200;53;0;80;0;0;24;24;99;53;300;80;0;120;0;0;36;36;148;80;400;107;0;160;0;0;48;48;198;107;500;134;0;200;0;0;60;60;247;134;1;0.268;0;0.4;0;0;0.12;0.12;0.495;0.268;318%;639.6%;960%;1281.6%;1602%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;pow;group;St;;;;;;;;;;;0;per;0.012;0;1;0.012;;per;0.012;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;deu%;Damage % vs undamaged enemies;P.Item;none;@d;FALSE;comm;0.9;1;1;1;1;1;1;1;1;1;1;0.05;0.05;0.05;0.05;0.05;FALSE;;100;100;200;300;400;500;100;20;20;20;15;20;15;15;100;50;200;40;40;40;30;40;30;30;200;100;300;60;60;60;45;60;45;45;300;150;400;80;80;80;60;80;60;60;400;200;500;100;100;100;75;100;75;75;500;250;1;0.2;0.2;0.2;0.15;0.2;0.15;0.15;1;0.5;1875%;3750%;5625%;7500%;9375%;;;;;;;TRUE;FALSE;0;dmg_vs;re_full_hp;;pass;mult;group;;;;;;;;;;;;0;per;0.04;0;1;0.05;;per;0.05;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;debl%;Damage % vs enemies below % life;P.Item;none;@d;FALSE;comm;1.1;1;1;1;1;1;1;1;1;1;1;0.012;0.012;0.012;0.012;0.012;FALSE;;100;100;200;300;400;500;100;20;20;20;15;20;15;15;100;50;200;40;40;40;30;40;30;30;200;100;300;60;60;60;45;60;45;45;300;150;400;80;80;80;60;80;60;60;400;200;500;100;100;100;75;100;75;75;500;250;1;0.2;0.2;0.2;0.15;0.2;0.15;0.15;1;0.5;450%;900%;1350%;1800%;2250%;;;;;;;TRUE;FALSE;0;dmg_vs;re_below_hp;hpm;pass;mult;group;;;;;;;;;;;;0;per;0.01;0;1;0.012;;per;0.012;1;0;;hpm;0.5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;deal%;Damage % vs enemies above % life;P.Item;none;@d;FALSE;comm;1.1;1;1;1;1;1;1;1;1;1;1;0.01;0.01;0.01;0.01;0.01;FALSE;;100;100;200;300;400;500;100;20;20;20;15;20;15;15;100;50;200;40;40;40;30;40;30;30;200;100;300;60;60;60;45;60;45;45;300;150;400;80;80;80;60;80;60;60;400;200;500;100;100;100;75;100;75;75;500;250;1;0.2;0.2;0.2;0.15;0.2;0.15;0.15;1;0.5;375%;750%;1125%;1500%;1875%;;;;;;;TRUE;FALSE;0;dmg_vs;re_above_hp;hpm;pass;mult;group;;;;;;;;;;;;0;per;0.008;0;1;0.01;;per;0.01;1;0;;hpm;0.5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;dbar%;Damage % vs barriers;P.Item;none;@d;FALSE;comm;1.1;1;1;1;1;1;1;1;1;1;1;0.007;0.007;0.007;0.007;0.007;FALSE;;100;100;200;300;400;500;100;20;20;20;15;20;15;15;100;50;200;40;40;40;30;40;30;30;200;100;300;60;60;60;45;60;45;45;300;150;400;80;80;80;60;80;60;60;400;200;500;100;100;100;75;100;75;75;500;250;1;0.2;0.2;0.2;0.15;0.2;0.15;0.15;1;0.5;262.5%;525%;787.5%;1050%;1312.5%;;;;;;;TRUE;FALSE;0;dmg_vs;re_bar;;pass;mult;group;;;;;;;;;;;;0;per;0.007;0;1;0.007;;per;0.007;1;0;;hpm;0.5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;cc%;Critical Chance %;P.Item;none;@cc;FALSE;brok;1;1;1;1;1;1;1;1;1;1;1;0.0007;0.0007;0.0007;0.0007;0.0007;FALSE;;100;100;200;300;400;500;100;40;0;40;0;0;20;20;50;34;200;80;0;80;0;0;40;40;100;68;300;120;0;120;0;0;60;60;150;102;400;160;0;160;0;0;80;80;200;136;500;200;0;200;0;0;100;100;250;170;1;0.4;0;0.4;0;0;0.2;0.2;0.5;0.34;21.3%;42.6%;63.8%;85.1%;106.4%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;cch;group;;;;;;;;;;;;0;per;0.0007;0;1;0.0007;;per;0.0007;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;acc%;Attack Critical Chance %;P.Item;none;@cc;FALSE;brok;1;1;1;1;1;1;1;1;1;1;1;0.0011;0.0011;0.0011;0.0011;0.0011;FALSE;;100;100;200;300;400;500;100;40;0;40;0;0;20;20;50;34;200;80;0;80;0;0;40;40;100;68;300;120;0;120;0;0;60;60;150;102;400;160;0;160;0;0;80;80;200;136;500;200;0;200;0;0;100;100;250;170;1;0.4;0;0.4;0;0;0.2;0.2;0.5;0.34;33.4%;66.9%;100.3%;133.8%;167.2%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;cch;group;P.Weapon;;;;;;;;;;;0;per;0.0011;0;1;0.0011;;per;0.0011;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;dcc%;Dash Critical Chance %;P.Item;none;@cc;FALSE;comm;0.8;1;1;1;1;1;1;1;1;1;1;0.0011;0.0011;0.0011;0.0011;0.0011;FALSE;;100;100;200;300;400;500;100;40;0;0;0;40;20;20;50;34;200;80;0;0;0;80;40;40;100;68;300;120;0;0;0;120;60;60;150;102;400;160;0;0;0;160;80;80;200;136;500;200;0;0;0;200;100;100;250;170;1;0.4;0;0;0;0.4;0.2;0.2;0.5;0.34;33.4%;66.9%;100.3%;133.8%;167.2%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;cch;group;P.Skill.Dash;;;;;;;;;;;0;per;0.0011;0;1;0.0011;;per;0.0011;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;scc%;Strike Critical Chance %;P.Item;none;@cc;FALSE;comm;1.2;1;1;1;1;1;1;1;1;1;1;0.0011;0.0011;0.0011;0.0011;0.0011;FALSE;;100;100;200;300;400;500;100;40;0;40;0;0;20;20;50;34;200;80;0;80;0;0;40;40;100;68;300;120;0;120;0;0;60;60;150;102;400;160;0;160;0;0;80;80;200;136;500;200;0;200;0;0;100;100;250;170;1;0.4;0;0.4;0;0;0.2;0.2;0.5;0.34;33.4%;66.9%;100.3%;133.8%;167.2%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;cch;group;P.Skill.Strike;;;;;;;;;;;0;per;0.0011;0;1;0.0011;;per;0.0011;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;ccc%;Cast Critical Chance %;P.Item;none;@cc;FALSE;comm;1.2;1;1;1;1;1;1;1;1;1;1;0.0011;0.0011;0.0011;0.0011;0.0011;FALSE;;100;100;200;300;400;500;100;40;0;40;0;0;20;20;50;34;200;80;0;80;0;0;40;40;100;68;300;120;0;120;0;0;60;60;150;102;400;160;0;160;0;0;80;80;200;136;500;200;0;200;0;0;100;100;250;170;1;0.4;0;0.4;0;0;0.2;0.2;0.5;0.34;33.4%;66.9%;100.3%;133.8%;167.2%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;cch;group;P.Skill.Cast;;;;;;;;;;;0;per;0.0011;0;1;0.0011;;per;0.0011;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;pcc%;Power Critical Chance %;P.Item;none;@cc;FALSE;comm;1.1;1;1;1;1;1;1;1;1;1;1;0.0011;0.0011;0.0011;0.0011;0.0011;FALSE;;100;100;200;300;400;500;100;40;0;40;0;0;20;20;50;34;200;80;0;80;0;0;40;40;100;68;300;120;0;120;0;0;60;60;150;102;400;160;0;160;0;0;80;80;200;136;500;200;0;200;0;0;100;100;250;170;1;0.4;0;0.4;0;0;0.2;0.2;0.5;0.34;33.4%;66.9%;100.3%;133.8%;167.2%;;;;;;;TRUE;FALSE;0;sc;pass;mult;stat;cch;group;P.Skill.Power;;;;;;;;;;;0;per;0.0011;0;1;0.0011;;per;0.0011;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;as%;Attack Speed %;P.Item;none;@s;FALSE;comm;1.2;1;1;1;1;1;1;1;1;1;1;0.004;0.004;0.004;0.004;0.004;FALSE;;40;40;80;120;160;200;40;16;0;24;0;0;8;8;16;40;80;32;0;48;0;0;16;16;32;80;120;48;0;72;0;0;24;24;48;120;160;64;0;96;0;0;32;32;64;160;200;80;0;120;0;0;40;40;80;200;1;0.4;0;0.6;0;0;0.2;0.2;0.4;1;60.8%;121.6%;182.4%;243.2%;304%;52%;514%;0.56;0.09;;;TRUE;FALSE;0;sc;pass;mult;stat;spd;group;P.Weapon;;;;;;;;;;;0;per;0.004;0;1;0.004;;per;0.004;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;cr%;Cooldown Reduction %;P.Item;none;@s;FALSE;rare;1.4;1;1;1;1;1;1;1;1;1;1;0.005;0.005;0.005;0.005;0.005;FALSE;;40;40;80;120;160;200;40;24;0;16;0;0;8;8;16;40;80;48;0;32;0;0;16;16;32;80;120;72;0;48;0;0;24;24;48;120;160;96;0;64;0;0;32;32;64;160;200;120;0;80;0;0;40;40;80;200;1;0.6;0;0.4;0;0;0.2;0.2;0.4;1;76%;152%;228%;304%;380%;26%;505%;7;1.16;;;TRUE;FALSE;0;sc;pass;mult;stat;cspd;group;;;;;;;;;;;;0;per;0.005;0;1;0.005;;per;0.005;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
