n/a;code;t;#isboss;#cnt;#Hor;#Tan;#Ini;#Rng;#DPS;#Nuk;#Con;#Dis;#Sup;#Mob;#Acc;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#;;#;;#;;#;#;;#;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#
;EfreetPoisonE;2;Elite;1.7;0;0;Ini;0;DPS;0;0;Dis;0;Mob;0;;;E1;4.3%;;;E1;3.8%;;;;;E1;4.8%;;;E1;3.2%;;;;;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;E1;2.8%;;;;;E1;4.3%;;;E1;3%;;;;;E1;4.5%;E1;2.9%;E1;3.7%;E1;4%;E1;4.5%;E1;2.8%;E1;4.5%;E1;4.5%;;;;;E1;5%;;;E1;3.4%;;;;;;;E1;5.9%;;;;;;;;;E1;12.5%;E1;12.5%;E1;3.7%;E1;11.1%;E1;5.9%;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EfreetShadowE;2;Elite;1.7;0;0;Ini;0;DPS;0;0;Dis;0;Mob;0;;;E1;4.3%;;;E1;3.8%;;;;;E1;4.8%;;;E1;3.2%;;;;;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;E1;2.8%;;;;;E1;4.3%;;;E1;3%;;;;;E1;4.5%;E1;2.9%;E1;3.7%;E1;4%;E1;4.5%;E1;2.8%;E1;4.5%;E1;4.5%;;;;;E1;5%;;;E1;3.4%;;;;;;;E1;5.9%;;;;;;;;;E1;12.5%;E1;12.5%;E1;3.7%;E1;11.1%;E1;5.9%;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;InsectE;2;Elite;1.2;0;0;0;Rng;0;Nuk;0;0;0;Mob;0;;;;;E1;3.1%;;;E1;4.5%;;;;;;;E1;3.2%;;;;;;;E1;2.4%;;;E1;3.2%;;;;;;;E1;3.1%;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;E1;2.9%;;;;;;;E1;2.8%;;;;;E1;7.1%;E1;4.3%;E1;5%;E1;7.1%;E1;3.4%;E1;6.7%;E1;4.5%;;;;;;;;;;;;;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;InsectProtectionShieldE;2;Elite;1.6;0;Tan;0;Rng;0;Nuk;0;0;0;Mob;0;E1;7.1%;E1;4.3%;E1;3.1%;E1;3.8%;E1;4.5%;E1;4.5%;E1;4.8%;E1;7.7%;E1;3.2%;E1;7.1%;E1;7.1%;;;E1;2.4%;;;E1;3.2%;;;;;;;E1;3.1%;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;E1;2.9%;;;;;;;E1;2.8%;;;;;E1;7.1%;E1;4.3%;E1;5%;E1;7.1%;E1;3.4%;E1;6.7%;E1;4.5%;;;;;;;;;;;;;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;JackalBloodE;2;Elite;2;0;Tan;Ini;0;0;Nuk;0;Dis;0;Mob;0;E1;7.1%;E1;4.3%;E1;3.1%;E1;3.8%;E1;4.5%;E1;4.5%;E1;4.8%;;;E1;3.2%;;;E1;7.1%;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;;;E1;4.2%;;;E1;4.3%;;;E1;3%;;;;;;;E1;2.9%;;;E1;4%;;;E1;2.8%;;;;;E1;7.1%;E1;4.3%;E1;5%;E1;7.1%;E1;3.4%;E1;6.7%;E1;4.5%;;;E1;5.9%;;;;;;;;;E1;12.5%;E1;12.5%;E1;3.7%;E1;11.1%;E1;5.9%;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;JackalE;2;Elite;1.6;0;Tan;Ini;0;0;Nuk;0;0;0;Mob;0;E1;7.1%;E1;4.3%;E1;3.1%;E1;3.8%;E1;4.5%;E1;4.5%;E1;4.8%;E1;7.7%;E1;3.2%;E1;7.1%;E1;7.1%;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;;;E1;4.2%;;;;;;;E1;3%;;;;;;;E1;2.9%;;;;;;;E1;2.8%;;;;;E1;7.1%;E1;4.3%;E1;5%;E1;7.1%;E1;3.4%;E1;6.7%;E1;4.5%;;;;;;;;;;;;;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RockElementalOnyxE;2;Elite;1.2;0;Tan;Ini;0;0;0;0;0;0;Mob;0;E1;7.1%;E1;4.3%;E1;3.1%;E1;3.8%;E1;4.5%;E1;4.5%;E1;4.8%;E1;7.7%;E1;3.2%;E1;7.1%;E1;7.1%;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;;;;;;;;;;;E1;3%;;;;;;;;;;;;;;;E1;2.8%;;;;;;;;;;;;;E1;3.4%;;;;;;;;;;;;;;;;;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RockElementalVelocityE;2;Elite;1.5;0;Tan;Ini;0;DPS;0;0;0;0;Mob;0;E1;7.1%;E1;4.3%;E1;3.1%;E1;3.8%;E1;4.5%;E1;4.5%;E1;4.8%;E1;7.7%;E1;3.2%;E1;7.1%;E1;7.1%;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;E1;2.8%;;;;;;;;;E1;3%;;;;;E1;4.5%;E1;2.9%;E1;3.7%;E1;4%;E1;4.5%;E1;2.8%;E1;4.5%;E1;4.5%;;;;;;;;;E1;3.4%;;;;;;;;;;;;;;;;;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonSandE;2;Elite;1.3;0;0;Ini;0;DPS;0;0;0;0;0;0;;;E1;4.3%;;;E1;3.8%;;;;;;;;;;;;;;;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;E1;2.8%;;;;;;;;;;;;;E1;3.6%;E1;4.5%;E1;2.9%;E1;3.7%;E1;4%;E1;4.5%;E1;2.8%;E1;4.5%;E1;4.5%;;;;;;;;;;;;;E1;4.5%;;;;;;;;;;;E1;5.6%;;;;;;;;;E1;5.9%;;;;;;;E1;11.1%;;;;;E1;3.1%;;;E1;10%;E1;11.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MummyB;2;Midboss;1;0;Tan;0;0;DPS;0;Con;Dis;0;Mob;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;100%;;;;;;;;;;;;;;;
;InsectQueenB;2;Midboss;1;0;Tan;0;Rng;DPS;Nuk;0;0;0;Mob;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;100%;;;;;;;;;;;;;
;DjinnB;2;Boss;1;0;Tan;0;Rng;DPS;Nuk;Con;0;0;Mob;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;100%;;;;;;;;;;;
;ArcherMoss;3;Minion;3.2;0;0;0;Rng;DPS;0;0;0;0;0;0;3;5.9%;3;9.1%;2;3.2%;3;12.5%;3;9.1%;3;7.1%;3;5.9%;3;5.9%;3;9.1%;3;5.9%;3;6.3%;3;9.1%;2;2.9%;2;5.6%;3;9.1%;3;12.5%;3;9.1%;3;9.1%;3;9.1%;3;9.1%;3;10%;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;3;3.3%;3;3.7%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.7%;3;3.7%;3;3.7%;3;4.8%;3;3.7%;3;3.8%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;4.2%;3;4.2%;3;4.3%;3;3.3%;3;3.4%;2;5.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMoss;3;Minion;3.2;0;0;0;Rng;DPS;0;0;0;0;0;0;3;5.9%;3;9.1%;2;3.2%;3;12.5%;3;9.1%;3;7.1%;3;5.9%;3;5.9%;3;9.1%;3;5.9%;3;6.3%;3;9.1%;2;2.9%;2;5.6%;3;9.1%;3;12.5%;3;9.1%;3;9.1%;3;9.1%;3;9.1%;3;10%;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;3;3.3%;3;3.7%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.7%;3;3.7%;3;3.7%;3;4.8%;3;3.7%;3;3.8%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;4.2%;3;4.2%;3;4.3%;3;3.3%;3;3.4%;2;5.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMoss;3;Minion;3.2;0;0;0;Rng;DPS;0;0;0;0;0;0;3;5.9%;3;9.1%;2;3.2%;3;12.5%;3;9.1%;3;7.1%;3;5.9%;3;5.9%;3;9.1%;3;5.9%;3;6.3%;3;9.1%;2;2.9%;2;5.6%;3;9.1%;3;12.5%;3;9.1%;3;9.1%;3;9.1%;3;9.1%;3;10%;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;3;3.3%;3;3.7%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.7%;3;3.7%;3;3.7%;3;4.8%;3;3.7%;3;3.8%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;4.2%;3;4.2%;3;4.3%;3;3.3%;3;3.4%;2;5.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMoss;3;Minion;3.2;0;0;0;Rng;DPS;0;0;0;0;0;0;3;5.9%;3;9.1%;2;3.2%;3;12.5%;3;9.1%;3;7.1%;3;5.9%;3;5.9%;3;9.1%;3;5.9%;3;6.3%;3;9.1%;2;2.9%;2;5.6%;3;9.1%;3;12.5%;3;9.1%;3;9.1%;3;9.1%;3;9.1%;3;10%;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;3;3.3%;3;3.7%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.7%;3;3.7%;3;3.7%;3;4.8%;3;3.7%;3;3.8%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;4.2%;3;4.2%;3;4.3%;3;3.3%;3;3.4%;2;5.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMoss;3;Minion;3.2;0;0;0;Rng;DPS;0;0;0;0;0;0;3;5.9%;3;9.1%;2;3.2%;3;12.5%;3;9.1%;3;7.1%;3;5.9%;3;5.9%;3;9.1%;3;5.9%;3;6.3%;3;9.1%;2;2.9%;2;5.6%;3;9.1%;3;12.5%;3;9.1%;3;9.1%;3;9.1%;3;9.1%;3;10%;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;3;3.3%;3;3.7%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.7%;3;3.7%;3;3.7%;3;4.8%;3;3.7%;3;3.8%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;4.2%;3;4.2%;3;4.3%;3;3.3%;3;3.4%;2;5.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMoss;3;Minion;3.2;0;0;0;Rng;DPS;0;0;0;0;0;0;3;5.9%;3;9.1%;2;3.2%;3;12.5%;3;9.1%;3;7.1%;3;5.9%;3;5.9%;3;9.1%;3;5.9%;3;6.3%;3;9.1%;2;2.9%;2;5.6%;3;9.1%;3;12.5%;3;9.1%;3;9.1%;3;9.1%;3;9.1%;3;10%;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;3;3.3%;3;3.7%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.7%;3;3.7%;3;3.7%;3;4.8%;3;3.7%;3;3.8%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;4.2%;3;4.2%;3;4.3%;3;3.3%;3;3.4%;2;5.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMoss;3;Minion;3.2;0;0;0;Rng;DPS;0;0;0;0;0;0;3;5.9%;3;9.1%;2;3.2%;3;12.5%;3;9.1%;3;7.1%;3;5.9%;3;5.9%;3;9.1%;3;5.9%;3;6.3%;3;9.1%;2;2.9%;2;5.6%;3;9.1%;3;12.5%;3;9.1%;3;9.1%;3;9.1%;3;9.1%;3;10%;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;3;3.3%;3;3.7%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.7%;3;3.7%;3;3.7%;3;4.8%;3;3.7%;3;3.8%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;3.3%;3;4.2%;3;3.3%;3;3.4%;3;4.2%;3;4.2%;3;4.3%;3;3.3%;3;3.4%;2;5.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossFire;3;Minion;0.6;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;2;3.2%;;;;;;;;;;;;;;;;;;;2;2.9%;2;5.6%;;;;;;;;;;;;;;;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossFrost;3;Minion;1.7;0;0;0;Rng;0;0;0;Dis;0;0;0;;;;;2;3.2%;;;;;;;2;16.7%;;;;;;;;;;;2;2.9%;;;;;;;2;11.1%;;;;;;;;;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;;;;;;;2;11.1%;;;;;;;;;;;;;2;25%;;;;;;;;;;;2;16.7%;;;;;;;;;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossHoming;3;Minion;1.1;0;0;0;Rng;DPS;0;Con;0;0;0;0;;;;;2;3.2%;;;;;2;7.1%;;;;;;;;;;;;;2;2.9%;;;;;2;7.1%;;;;;;;;;;;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;;;;;2;9.1%;;;;;;;;;;;;;2;9.1%;;;;;;;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossLightning;3;Minion;0.8;0;0;0;Rng;0;Nuk;0;0;0;Mob;0;;;;;2;3.2%;;;2;3.1%;;;;;;;;;;;;;;;2;2.9%;;;2;10%;;;;;;;;;;;;;1;2.9%;1;2.9%;2;3.7%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;;;2;3.8%;;;;;;;;;;;;;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossPoison;3;Minion;0.6;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;2;3.2%;;;;;;;;;;;;;;;;;;;2;2.9%;2;5.6%;;;;;;;;;;;;;;;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossRapidFire;3;Minion;1.4;0;0;0;Rng;0;Nuk;Con;0;0;0;0;;;;;2;3.2%;;;2;3.1%;2;7.1%;;;;;;;;;;;;;2;2.9%;;;2;10%;2;7.1%;;;;;;;;;;;1;2.9%;1;2.9%;2;3.7%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;;;2;3.8%;2;9.1%;;;;;;;;;;;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossShadow;3;Minion;1.1;0;0;0;Rng;0;0;Con;0;0;0;0;;;;;2;3.2%;;;;;2;7.1%;;;;;;;;;;;;;2;2.9%;;;;;2;7.1%;;;;;;;;;;;1;2.9%;1;2.9%;1;3.3%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;;;;;2;9.1%;;;;;;;;;;;;;2;9.1%;;;;;;;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossVelocity;3;Minion;0.8;0;0;0;Rng;0;Nuk;0;0;0;0;0;;;;;2;3.2%;;;2;3.1%;;;;;;;;;;;;;;;2;2.9%;;;2;10%;;;;;;;;;;;;;1;2.9%;1;2.9%;2;3.7%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;;;2;3.8%;;;;;;;;;;;;;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossBlood;3;Minion;0.8;0;0;0;Rng;DPS;0;Con;0;0;0;0;;;;;2;3.2%;;;2;3.1%;;;;;;;;;;;;;;;2;2.9%;;;2;10%;;;;;;;;;;;;;1;2.9%;1;2.9%;2;3.7%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;;;2;3.8%;;;;;;;;;;;;;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMossPure;3;Minion;0.8;0;0;0;Rng;0;Nuk;0;0;0;0;0;;;;;2;3.2%;;;2;3.1%;;;;;;;;;;;;;;;2;2.9%;;;2;10%;;;;;;;;;;;;;1;2.9%;1;2.9%;2;3.7%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;1;2.9%;;;2;3.8%;;;;;;;;;;;;;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;1;3.8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonMoss;3;Minion;24.8;Hor;0;0;0;0;0;0;0;0;0;0;3;5.9%;3;9.1%;3;14.3%;3;12.5%;3;9.1%;3;7.1%;3;5.9%;3;5.9%;3;9.1%;3;5.9%;2;6.7%;3;9.1%;3;100%;3;100%;3;9.1%;3;12.5%;3;9.1%;3;9.1%;3;9.1%;3;9.1%;2;5.3%;3;5%;3;14.3%;3;7.1%;3;5%;3;5%;3;5%;3;7.1%;3;5%;2;5.3%;3;100%;3;100%;3;100%;3;100%;3;100%;3;100%;3;100%;2;5.9%;3;3.3%;3;3.7%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;2;7.7%;3;3.7%;3;3.7%;3;3.7%;3;4.8%;3;3.7%;2;5.9%;3;3.3%;3;3.3%;3;4.2%;3;3.3%;2;6.3%;3;3.3%;3;4.2%;3;3.3%;2;5.3%;3;4.2%;3;4.2%;2;14.3%;3;3.3%;2;5.3%;1;14.3%;;;;1;100%;;;1;100%;1;100%;;1;16.7%;;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;;;;;
;SkeletonMossBlood;3;Minion;1.3;Hor;0;0;0;DPS;0;0;0;0;0;0;;;;;;;2;20%;;;;;;;;;;;;;2;6.7%;;;;;2;5.6%;;;;;;;;;;;;;2;5.3%;;;2;6.7%;;;;;;;;;;;;;2;5.3%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;;;;;;;;;;;;;2;7.7%;;;;;;;;;;;2;5.9%;;;;;;;;;2;6.3%;;;;;;;2;5.3%;;;;;2;14.3%;;;2;5.3%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonMossFast;3;Minion;1.1;Hor;0;0;0;0;0;0;0;0;Mob;0;;;;;;;;;;;;;;;;;2;2.4%;;;2;6.7%;;;;;;;;;;;;;;;2;3.6%;;;2;5.3%;;;;;;;;;;;;;2;3.4%;;;2;5.3%;;;;;;;;;;;2;3.3%;;;2;5.9%;;;;;;;;;2;6.3%;;;2;7.7%;;;;;;;2;4.3%;;;2;5.9%;;;;;2;3.4%;;;2;6.3%;;;;;;;2;5.3%;1;2.4%;1;2.4%;2;14.3%;;;2;5.3%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonMossFire;3;Minion;1.3;Hor;0;0;0;DPS;0;0;0;0;0;0;;;;;;;2;20%;;;;;;;;;;;;;2;6.7%;;;;;2;5.6%;;;;;;;;;;;;;2;5.3%;;;2;6.7%;;;;;;;;;;;;;2;5.3%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;1;3.2%;;;;;;;;;;;;;2;7.7%;;;;;;;;;;;2;5.9%;;;;;;;;;2;6.3%;;;;;;;2;5.3%;;;;;2;14.3%;;;2;5.3%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonMossFrost;3;Minion;2.2;Hor;Tan;0;0;0;0;0;Dis;0;0;0;1;4.3%;1;4.5%;1;4.3%;1;4.3%;1;4.3%;1;4.3%;1;4.3%;1;4.3%;1;4.5%;1;5%;1;4.3%;;;;;;;;;;;2;11.1%;;;;;;;2;5.3%;;;;;;;;;;;;;;;;;2;5.3%;;;;;;;2;11.1%;;;;;;;2;5.9%;;;;;2;25%;;;;;;;2;7.7%;;;;;;;;;;;2;5.9%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;;;;;;;2;5.3%;;;;;2;14.3%;;;2;5.3%;1;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
